plotID,with_crypto,without_crypto,geom
65853,TRUE,TRUE,"c(24.46865, 45.48998)"
65851,TRUE,TRUE,"c(24.4689, 45.48458)"
65852,FALSE,FALSE,"c(24.46362, 45.48807)"
65848,TRUE,TRUE,"c(24.46394, 45.48087)"
65857,TRUE,TRUE,"c(24.46569, 45.49891)"
65461,FALSE,FALSE,"c(24.579, 47.526)"
65670,TRUE,TRUE,"c(24.58459, 47.59517)"
65455,FALSE,FALSE,"c(24.588, 47.54)"
66054,FALSE,TRUE,"c(24.53871, 47.84087)"
65663,TRUE,TRUE,"c(24.56501, 47.49736)"
65669,TRUE,TRUE,"c(24.56855, 47.50303)"
65855,FALSE,FALSE,"c(24.46082, 45.4934)"
65730,TRUE,TRUE,"c(24.33966, 45.31897)"
65728,TRUE,TRUE,"c(24.34403, 45.31533)"
65729,FALSE,TRUE,"c(24.34452, 45.31533)"
65731,TRUE,TRUE,"c(24.31861, 45.32393)"
65732,TRUE,TRUE,"c(24.33176, 45.32248)"
65733,TRUE,TRUE,"c(24.33567, 45.32079)"
65847,TRUE,TRUE,"c(24.45372, 45.48064)"
65862,TRUE,TRUE,"c(24.45563, 45.49509)"
65854,FALSE,TRUE,"c(24.45835, 45.49155)"
66053,FALSE,TRUE,"c(24.34624, 47.88541)"
65860,TRUE,TRUE,"c(24.45068, 45.49138)"
65850,FALSE,FALSE,"c(24.45108, 45.48239)"
65681,TRUE,FALSE,"c(24.81828, 47.60216)"
65901,FALSE,TRUE,"c(25.21485, 45.51162)"
65900,FALSE,TRUE,"c(25.21484, 45.51231)"
66288,FALSE,TRUE,"c(25.21484, 46.77665)"
65899,FALSE,TRUE,"c(25.19605, 45.531)"
65907,FALSE,TRUE,"c(25.20903, 45.54793)"
66286,FALSE,TRUE,"c(25.21356, 46.77584)"
66291,FALSE,TRUE,"c(25.22885, 46.75452)"
66278,TRUE,TRUE,"c(25.23016, 46.77752)"
66274,TRUE,FALSE,"c(25.23021, 46.77821)"
66287,TRUE,TRUE,"c(25.215, 46.77543)"
66289,FALSE,TRUE,"c(25.22276, 46.76033)"
