Sequence No	Turboveg No	Group No	Relevé number	TV2 relevé number	Country	DEG_LON	DEG_LAT	cryptogams	 
3085	23066	1	23066	020426648	Czech Republic	13.805278	48.981111	5	
3086	23096	1	23096	020426680	Czech Republic	13.805833	48.991944	5	
3087	23064	1	23064	020426646	Czech Republic	13.805833	48.975556	3	
3088	23065	1	23065	020426647	Czech Republic	13.804722	48.9775	7	
3089	23121	1	23121	020426706	Czech Republic	13.804167	48.976389	11	
3090	23081	1	23081	020426663	Czech Republic	13.805278	48.97	7	
3091	23100	1	23100	020426684	Czech Republic	13.7975	48.976111	10	
3092	24367	1	24367	020459783	Czech Republic	13.797222	48.845833	3	
3093	23108	1	23108	020426692	Czech Republic	13.799167	48.986389	8	
3094	23079	1	23079	020426661	Czech Republic	13.798889	48.983333	7	
3095	23107	1	23107	020426691	Czech Republic	13.796667	48.987778	5	
3096	24610	1	24610	020461282	Czech Republic	13.796667	48.923333	1	
3097	23099	1	23099	020426683	Czech Republic	13.796944	48.985556	5	
3098	24601	1	24601	020461273	Czech Republic	13.796667	48.923333	9	
3099	23120	1	23120	020426705	Czech Republic	13.801111	48.970278	12	
3100	24370	1	24370	020459786	Czech Republic	13.8	48.909722	6	
3101	23118	1	23118	020426703	Czech Republic	13.801944	48.985278	9	
3102	23092	1	23092	020426676	Czech Republic	13.801389	48.99	8	
3103	24361	1	24361	020459770	Czech Republic	13.8	48.902778	0	
3104	24371	1	24371	020459787	Czech Republic	13.8	48.908333	4	
3105	24358	1	24358	020459763	Czech Republic	13.8	48.916667	3	
3106	24791	1	24791	020462417	Czech Republic	17.050833	50.243333	0	
3107	24807	1	24807	020462470	Czech Republic	17.049722	50.2125	0	
3108	24806	1	24806	020462468	Czech Republic	17.0525	50.216111	0	
3109	24431	1	24431	020460675	Czech Republic	15.410833	50.774722	8	
3110	24808	1	24808	020462473	Czech Republic	17.048611	50.219167	0	
3111	24780	1	24780	020462316	Czech Republic	17.022222	50.247222	0	
3112	25005	1	25005	020519820	Czech Republic	17.003861	50.197972	0	
3113	22322	1	22322	020418399	Czech Republic	17.033889	50.228611	3	
3114	24804	1	24804	020462446	Czech Republic	17.047778	50.235	0	
3115	24802	1	24802	020462443	Czech Republic	17.041944	50.239722	0	
3116	20342	1	20342	020122214	Czech Republic	15.401586	50.770592	4	
3117	24794	1	24794	020462425	Czech Republic	17.058889	50.232222	0	
3118	20343	1	20343	020122215	Czech Republic	15.400342	50.770028	3	
3119	24396	1	24396	020460294	Czech Republic	17.066111	50.173889	3	
3120	22019	1	22019	020418041	Czech Republic	16.8625	50.198333	10	
3121	21967	1	21967	020417616	Czech Republic	16.858333	50.198889	7	
3122	22011	1	22011	020418033	Czech Republic	16.863889	50.173611	5	
3123	23451	1	23451	020430268	Czech Republic	16.864167	50.197778	11	
3124	22017	1	22017	020418039	Czech Republic	16.864167	50.175556	3	
3125	22014	1	22014	020418036	Czech Republic	16.8575	50.163889	3	
3126	22013	1	22013	020418035	Czech Republic	16.8525	50.160833	5	
3127	22319	1	22319	020418396	Czech Republic	16.850833	50.199167	1	
3128	22012	1	22012	020418034	Czech Republic	16.8525	50.160833	6	
3129	22021	1	22021	020418043	Czech Republic	16.856111	50.203056	4	
3130	22027	1	22027	020418049	Czech Republic	16.856111	50.201667	1	
3131	22016	1	22016	020418038	Czech Republic	16.864167	50.175556	3	
3132	21966	1	21966	020417615	Czech Republic	16.873056	50.195556	6	
3133	25110	1	25110	020545702	Czech Republic	16.948683	50.318556	0	
3134	21972	1	21972	020417659	Czech Republic	16.866667	50.190278	6	
3135	22015	1	22015	020418037	Czech Republic	16.864444	50.170278	4	
3136	23464	1	23464	020430281	Czech Republic	16.864167	50.197778	3	
3137	22018	1	22018	020418040	Czech Republic	16.864722	50.175556	5	
3138	22325	1	22325	020418403	Czech Republic	16.865278	50.175278	1	
3139	22320	1	22320	020418397	Czech Republic	16.864722	50.179167	3	
3140	25207	1	25207	020546475	Czech Republic	17.125456	50.161667	17	
3141	25204	1	25204	020546470	Czech Republic	17.120367	50.176803	15	
3142	22271	1	22271	020418337	Czech Republic	17.126944	50.046111	8	
3143	22289	1	22289	020418355	Czech Republic	17.126944	50.046111	8	
3144	24689	1	24689	020461523	Czech Republic	15.393611	49.241667	3	
3145	21538	1	21538	020409772	Czech Republic	17.119444	50.164167	7	
3146	21540	1	21540	020409774	Czech Republic	17.118056	50.167778	8	
3147	22469	1	22469	020418555	Czech Republic	17.117778	50.165	10	
3148	21536	1	21536	020409770	Czech Republic	17.119444	50.164167	11	
3149	21528	1	21528	020409692	Czech Republic	17.119444	50.164167	2	
3150	21537	1	21537	020409771	Czech Republic	17.119444	50.164167	8	
3151	25327	1	25327	020556420	Czech Republic	15.390528	49.24325	0	
3152	22301	1	22301	020418367	Czech Republic	17.126944	50.046111	7	
3153	22281	1	22281	020418347	Czech Republic	17.126944	50.046111	10	
3154	22294	1	22294	020418360	Czech Republic	17.126944	50.046111	8	
3155	22297	1	22297	020418363	Czech Republic	17.126944	50.046111	5	
3156	22291	1	22291	020418357	Czech Republic	17.126944	50.046111	9	
3157	20090	1	20090	020119385	Czech Republic	15.388139	49.243889	0	
3158	22277	1	22277	020418343	Czech Republic	17.126944	50.046111	9	
3159	22275	1	22275	020418341	Czech Republic	17.126944	50.046111	10	
3160	22282	1	22282	020418348	Czech Republic	17.126944	50.046111	11	
3161	22278	1	22278	020418344	Czech Republic	17.126944	50.046111	6	
3162	22270	1	22270	020418336	Czech Republic	17.126944	50.046111	6	
3163	23484	1	23484	020430570	Czech Republic	17.101944	50.17	0	
3164	23489	1	23489	020430575	Czech Republic	17.101944	50.17	0	
3165	23487	1	23487	020430573	Czech Republic	17.101944	50.17	0	
3166	23488	1	23488	020430574	Czech Republic	17.101944	50.17	0	
3167	23485	1	23485	020430571	Czech Republic	17.101944	50.17	0	
3168	21542	1	21542	020409776	Czech Republic	17.1	50.101111	1	
3169	25205	1	25205	020546471	Czech Republic	17.097669	50.169192	21	
3170	24813	1	24813	020462515	Czech Republic	17.095556	50.251667	0	
3171	23486	1	23486	020430572	Czech Republic	17.101944	50.17	0	
3172	22470	1	22470	020418556	Czech Republic	17.113056	50.180278	7	
3173	24389	1	24389	020460218	Czech Republic	17.112222	50.162222	9	
3174	25206	1	25206	020546473	Czech Republic	17.113167	50.185733	11	
3175	24392	1	24392	020460221	Czech Republic	17.116389	50.171111	8	
3176	21543	1	21543	020409777	Czech Republic	17.113333	50.156944	0	
3177	24388	1	24388	020460217	Czech Republic	17.112222	50.162222	11	
3178	24395	1	24395	020460224	Czech Republic	17.108056	50.153056	0	
3179	24879	1	24879	020466214	Czech Republic	17.105833	50.158056	2	
3180	22327	1	22327	020418405	Czech Republic	17.108056	50.188611	0	
3181	24390	1	24390	020460219	Czech Republic	17.112222	50.162222	7	
3182	22321	1	22321	020418398	Czech Republic	17.108056	50.188611	0	
3183	22024	1	22024	020418046	Czech Republic	16.849722	50.174722	10	
3184	23457	1	23457	020430274	Czech Republic	16.846667	50.203611	3	
3185	23460	1	23460	020430277	Czech Republic	16.846667	50.203611	3	
3186	23463	1	23463	020430280	Czech Republic	16.846667	50.203611	5	
3187	23459	1	23459	020430276	Czech Republic	16.846667	50.203611	4	
3188	23450	1	23450	020430267	Czech Republic	16.846667	50.203611	7	
3189	23458	1	23458	020430275	Czech Republic	16.846667	50.203611	3	
3190	23449	1	23449	020430266	Czech Republic	16.846667	50.203611	10	
3191	23455	1	23455	020430272	Czech Republic	16.846667	50.203611	1	
3192	23456	1	23456	020430273	Czech Republic	16.846667	50.203611	4	
3193	23462	1	23462	020430279	Czech Republic	16.846667	50.203611	2	
3194	23452	1	23452	020430269	Czech Republic	16.846667	50.203611	2	
3195	22203	1	22203	020418261	Czech Republic	16.846944	50.207222	3	
3196	22223	1	22223	020418281	Czech Republic	16.846944	50.207222	3	
3197	22226	1	22226	020418284	Czech Republic	16.846944	50.207222	6	
3198	22222	1	22222	020418280	Czech Republic	16.846944	50.207222	7	
3199	24430	1	24430	020460674	Czech Republic	15.463056	50.768056	4	
3200	22224	1	22224	020418282	Czech Republic	16.846944	50.207222	2	
3201	22225	1	22225	020418283	Czech Republic	16.846944	50.207222	0	
3202	22206	1	22206	020418264	Czech Republic	16.846944	50.207222	1	
3203	22207	1	22207	020418265	Czech Republic	16.846944	50.207222	1	
3204	22205	1	22205	020418263	Czech Republic	16.846944	50.207222	1	
3205	22208	1	22208	020418266	Czech Republic	16.846944	50.207222	2	
3206	22202	1	22202	020418260	Czech Republic	16.846944	50.207222	5	
3207	22046	1	22046	020418080	Czech Republic	15.488611	50.779722	2	
3208	22020	1	22020	020418042	Czech Republic	16.841944	50.205556	4	
3209	21968	1	21968	020417648	Czech Republic	16.841139	50.204611	5	
3210	23461	1	23461	020430278	Czech Republic	16.846667	50.203611	2	
3211	23453	1	23453	020430270	Czech Republic	16.846667	50.203611	1	
3212	23454	1	23454	020430271	Czech Republic	16.846667	50.203611	1	
3213	22029	1	22029	020418051	Czech Republic	16.818611	50.188056	4	
3214	21971	1	21971	020417654	Czech Republic	16.800278	50.178333	4	
3215	22045	1	22045	020418079	Czech Republic	15.488611	50.779722	4	
3216	21969	1	21969	020417649	Czech Republic	16.810833	50.188889	4	
3217	22030	1	22030	020418052	Czech Republic	16.814722	50.190833	2	
3218	21970	1	21970	020417650	Czech Republic	16.810833	50.188889	4	
3219	22192	1	22192	020418250	Czech Republic	16.846944	50.207222	4	
3220	22193	1	22193	020418251	Czech Republic	16.846944	50.207222	4	
3221	22194	1	22194	020418252	Czech Republic	16.846944	50.207222	2	
3222	22191	1	22191	020418249	Czech Republic	16.846944	50.207222	2	
3223	22181	1	22181	020418239	Czech Republic	16.846944	50.207222	11	
3224	22190	1	22190	020418248	Czech Republic	16.846944	50.207222	8	
3225	22180	1	22180	020418238	Czech Republic	16.846944	50.207222	7	
3226	22212	1	22212	020418270	Czech Republic	16.846944	50.207222	4	
3227	22216	1	22216	020418274	Czech Republic	16.846944	50.207222	4	
3228	22211	1	22211	020418269	Czech Republic	16.846944	50.207222	2	
3229	22215	1	22215	020418273	Czech Republic	16.846944	50.207222	5	
3230	22214	1	22214	020418272	Czech Republic	16.846944	50.207222	1	
3231	22026	1	22026	020418048	Czech Republic	16.849722	50.174722	10	
3232	22022	1	22022	020418044	Czech Republic	16.847778	50.207222	3	
3233	22025	1	22025	020418047	Czech Republic	16.849722	50.174722	7	
3234	22023	1	22023	020418045	Czech Republic	16.849722	50.174722	7	
3235	22028	1	22028	020418050	Czech Republic	16.849722	50.174722	3	
3236	22196	1	22196	020418254	Czech Republic	16.846944	50.207222	3	
3237	22195	1	22195	020418253	Czech Republic	16.846944	50.207222	1	
3238	22189	1	22189	020418247	Czech Republic	16.846944	50.207222	2	
3239	22213	1	22213	020418271	Czech Republic	16.846944	50.207222	3	
3240	22219	1	22219	020418277	Czech Republic	16.846944	50.207222	2	
3241	24100	1	24100	020442261	Czech Republic	15.431111	49.253611	5	
3242	22221	1	22221	020418279	Czech Republic	16.846944	50.207222	4	
3243	22179	1	22179	020418237	Czech Republic	16.846944	50.207222	10	
3244	22210	1	22210	020418268	Czech Republic	16.846944	50.207222	5	
3245	24433	1	24433	020460682	Czech Republic	15.453333	50.771111	20	
3246	22218	1	22218	020418276	Czech Republic	16.846944	50.207222	4	
3247	22217	1	22217	020418275	Czech Republic	16.846944	50.207222	3	
3248	22227	1	22227	020418285	Czech Republic	16.846944	50.207222	3	
3249	22198	1	22198	020418256	Czech Republic	16.846944	50.207222	3	
3250	22220	1	22220	020418278	Czech Republic	16.846944	50.207222	3	
3251	22204	1	22204	020418262	Czech Republic	16.846944	50.207222	5	
3252	22209	1	22209	020418267	Czech Republic	16.846944	50.207222	6	
3253	22184	1	22184	020418242	Czech Republic	16.846944	50.207222	4	
3254	22185	1	22185	020418243	Czech Republic	16.846944	50.207222	7	
3255	22186	1	22186	020418244	Czech Republic	16.846944	50.207222	1	
3256	22199	1	22199	020418257	Czech Republic	16.846944	50.207222	6	
3257	22197	1	22197	020418255	Czech Republic	16.846944	50.207222	7	
3258	22188	1	22188	020418246	Czech Republic	16.846944	50.207222	4	
3259	22200	1	22200	020418258	Czech Republic	16.846944	50.207222	2	
3260	22201	1	22201	020418259	Czech Republic	16.846944	50.207222	10	
3261	22187	1	22187	020418245	Czech Republic	16.846944	50.207222	3	
3262	22183	1	22183	020418241	Czech Republic	16.846944	50.207222	6	
3263	22182	1	22182	020418240	Czech Republic	16.846944	50.207222	0	
3264	22276	1	22276	020418342	Czech Republic	17.126944	50.046111	7	
3265	23691	1	23691	020433052	Czech Republic	15.341389	50.843889	4	
3266	22313	1	22313	020418379	Czech Republic	17.178056	50.068333	5	
3267	23692	1	23692	020433053	Czech Republic	15.341389	50.843889	7	
3268	20150	1	20150	020120003	Czech Republic	15.341056	50.846861	9	
3269	23693	1	23693	020433054	Czech Republic	15.341389	50.843889	4	
3270	21808	1	21808	020415401	Czech Republic	15.341667	49.241667	3	
3271	22314	1	22314	020418380	Czech Republic	17.178056	50.068333	8	
3272	22316	1	22316	020418382	Czech Republic	17.178056	50.068333	6	
3273	20643	1	20643	020166060	Czech Republic	15.3435	50.854361	11	
3274	20361	1	20361	020122366	Czech Republic	15.34175	50.848	3	
3275	20149	1	20149	020120002	Czech Republic	15.342433	50.844942	4	
3276	20152	1	20152	020120007	Czech Republic	15.340314	50.839044	7	
3277	20129	1	20129	020119881	Czech Republic	15.333839	50.833672	8	
3278	25157	1	25157	020546087	Czech Republic	17.188981	50.038803	7	
3279	24718	1	24718	020461747	Czech Republic	15.332222	50.821111	6	
3280	20167	1	20167	020120037	Czech Republic	15.332339	50.807047	11	
3281	21805	1	21805	020415398	Czech Republic	15.336111	49.222222	5	
3282	21504	1	21504	020408630	Czech Republic	15.339167	49.220833	6	
3283	20644	1	20644	020166068	Czech Republic	15.340028	50.854861	11	
3284	25159	1	25159	020546089	Czech Republic	17.185992	50.036347	10	
3285	25158	1	25158	020546088	Czech Republic	17.188483	50.021583	9	
3286	20166	1	20166	020120036	Czech Republic	15.338589	50.795117	17	
3287	21868	1	21868	020415884	Czech Republic	17.170833	50.055556	9	
3288	21835	1	21835	020415851	Czech Republic	17.170833	50.055556	10	
3289	21869	1	21869	020415885	Czech Republic	17.170833	50.055556	11	
3290	21842	1	21842	020415858	Czech Republic	17.170833	50.055556	17	
3291	21825	1	21825	020415841	Czech Republic	17.170833	50.055556	7	
3292	21870	1	21870	020415886	Czech Republic	17.170833	50.055556	11	
3293	21826	1	21826	020415842	Czech Republic	17.170833	50.055556	8	
3294	21843	1	21843	020415859	Czech Republic	17.170833	50.055556	11	
3295	21846	1	21846	020415862	Czech Republic	17.170833	50.055556	13	
3296	21839	1	21839	020415855	Czech Republic	17.170833	50.055556	10	
3297	21858	1	21858	020415874	Czech Republic	17.170833	50.055556	10	
3298	21851	1	21851	020415867	Czech Republic	17.170833	50.055556	17	
3299	21857	1	21857	020415873	Czech Republic	17.170833	50.055556	12	
3300	20642	1	20642	020166059	Czech Republic	15.345889	50.853444	13	
3301	21829	1	21829	020415845	Czech Republic	17.170833	50.055556	13	
3302	22315	1	22315	020418381	Czech Republic	17.178056	50.068333	6	
3303	21850	1	21850	020415866	Czech Republic	17.170833	50.055556	14	
3304	21871	1	21871	020415887	Czech Republic	17.170833	50.055556	6	
3305	21827	1	21827	020415843	Czech Republic	17.170833	50.055556	7	
3306	21828	1	21828	020415844	Czech Republic	17.170833	50.055556	10	
3307	21830	1	21830	020415846	Czech Republic	17.170833	50.055556	13	
3308	20259	1	20259	020120295	Czech Republic	15.346672	50.807428	12	
3309	21837	1	21837	020415853	Czech Republic	17.170833	50.055556	13	
3310	20122	1	20122	020119869	Czech Republic	15.317483	50.831908	9	
3311	24869	1	24869	020465889	Czech Republic	17.213889	50.038889	1	
3312	22515	1	22515	020418607	Czech Republic	15.316944	49.259444	5	
3313	20146	1	20146	020119999	Czech Republic	15.316411	50.844303	5	
3314	22516	1	22516	020418608	Czech Republic	15.316944	49.259444	6	
3315	20121	1	20121	020119868	Czech Republic	15.318964	50.832128	6	
3316	20111	1	20111	020119851	Czech Republic	15.322156	50.8569	4	
3317	24887	1	24887	020466392	Czech Republic	17.213083	50.046	2	
3318	20125	1	20125	020119872	Czech Republic	15.322028	50.827075	10	
3319	20344	1	20344	020122216	Czech Republic	15.319278	50.778778	4	
3320	20123	1	20123	020119870	Czech Republic	15.320006	50.830261	7	
3321	23850	1	23850	020435978	Czech Republic	15.315278	50.834722	3	
3322	20251	1	20251	020120282	Czech Republic	15.313633	50.851061	10	
3323	24854	1	24854	020465541	Czech Republic	17.223056	50.0675	7	
3324	24888	1	24888	020466401	Czech Republic	17.223111	50.097167	2	
3325	24855	1	24855	020465542	Czech Republic	17.223056	50.0675	6	
3326	24886	1	24886	020466376	Czech Republic	17.220611	50.078667	0	
3327	20119	1	20119	020119866	Czech Republic	15.314978	50.834311	8	
3328	20120	1	20120	020119867	Czech Republic	15.314978	50.833903	7	
3329	20124	1	20124	020119871	Czech Republic	15.314119	50.830694	12	
3330	20148	1	20148	020120001	Czech Republic	15.314492	50.849908	6	
3331	22317	1	22317	020418394	Czech Republic	17.201389	50.027778	0	
3332	24393	1	24393	020460222	Czech Republic	17.203333	50.078056	7	
3333	24893	1	24893	020466410	Czech Republic	17.203639	50.078944	0	
3334	21541	1	21541	020409775	Czech Republic	17.201389	50.080556	7	
3335	20126	1	20126	020119875	Czech Republic	15.329039	50.826333	9	
3336	24719	1	24719	020461748	Czech Republic	15.332222	50.821111	5	
3337	20127	1	20127	020119877	Czech Republic	15.328369	50.830814	11	
3338	25156	1	25156	020546086	Czech Republic	17.1956	50.028728	11	
3339	25160	1	25160	020546090	Czech Republic	17.192525	50.036092	10	
3340	24115	1	24115	020442379	Czech Republic	17.206944	50.081667	0	
3341	24235	1	24235	020459596	Czech Republic	17.208333	50.158333	0	
3342	22318	1	22318	020418395	Czech Republic	17.209167	50.1025	0	
3343	24891	1	24891	020466406	Czech Republic	17.212056	50.096361	3	
3344	24860	1	24860	020465720	Czech Republic	17.211111	50.097222	2	
3345	24236	1	24236	020459597	Czech Republic	17.208333	50.158333	0	
3346	24892	1	24892	020466409	Czech Republic	17.207056	50.08275	0	
3347	20128	1	20128	020119879	Czech Republic	15.326814	50.831833	8	
3348	22882	1	22882	020425723	Czech Republic	15.325556	49.407778	0	
3349	22883	1	22883	020425725	Czech Republic	15.325556	49.407778	0	
3350	21844	1	21844	020415860	Czech Republic	17.170833	50.055556	9	
3351	20253	1	20253	020120288	Czech Republic	15.360683	50.840708	15	
3352	22279	1	22279	020418345	Czech Republic	17.126944	50.046111	9	
3353	23343	1	23343	020428130	Czech Republic	15.36	50.814444	0	
3354	20258	1	20258	020120293	Czech Republic	15.359375	50.814492	14	
3355	22283	1	22283	020418349	Czech Republic	17.126944	50.046111	4	
3356	22273	1	22273	020418339	Czech Republic	17.126944	50.046111	9	
3357	21806	1	21806	020415399	Czech Republic	15.366667	49.233333	5	
3358	21809	1	21809	020415402	Czech Republic	15.366667	49.233333	4	
3359	22303	1	22303	020418369	Czech Republic	17.126944	50.046111	7	
3360	22288	1	22288	020418354	Czech Republic	17.126944	50.046111	8	
3361	20116	1	20116	020119863	Czech Republic	15.364467	50.83785	6	
3362	22293	1	22293	020418359	Czech Republic	17.126944	50.046111	10	
3363	24394	1	24394	020460223	Czech Republic	17.131667	50.116944	1	
3364	20240	1	20240	020120235	Czech Republic	15.354869	50.802656	15	
3365	21865	1	21865	020415881	Czech Republic	17.133333	49.975	7	
3366	25032	1	25032	020545078	Czech Republic	17.131833	50.164222	2	
3367	22272	1	22272	020418338	Czech Republic	17.126944	50.046111	6	
3368	24720	1	24720	020461749	Czech Republic	15.357778	50.8175	5	
3369	22302	1	22302	020418368	Czech Republic	17.126944	50.046111	7	
3370	24721	1	24721	020461750	Czech Republic	15.357778	50.8175	6	
3371	20115	1	20115	020119859	Czech Republic	15.357469	50.843619	7	
3372	24714	1	24714	020461743	Czech Republic	15.357778	50.8175	4	
3373	22285	1	22285	020418351	Czech Republic	17.126944	50.046111	6	
3374	22284	1	22284	020418350	Czech Republic	17.126944	50.046111	10	
3375	22292	1	22292	020418358	Czech Republic	17.126944	50.046111	9	
3376	20256	1	20256	020120291	Czech Republic	15.371467	50.8241	12	
3377	24713	1	24713	020461742	Czech Republic	15.371667	50.824444	4	
3378	22300	1	22300	020418366	Czech Republic	17.126944	50.046111	9	
3379	22295	1	22295	020418361	Czech Republic	17.126944	50.046111	9	
3380	22287	1	22287	020418353	Czech Republic	17.126944	50.046111	9	
3381	22299	1	22299	020418365	Czech Republic	17.126944	50.046111	9	
3382	22298	1	22298	020418364	Czech Republic	17.126944	50.046111	9	
3383	22290	1	22290	020418356	Czech Republic	17.126944	50.046111	7	
3384	22274	1	22274	020418340	Czech Republic	17.126944	50.046111	11	
3385	22296	1	22296	020418362	Czech Republic	17.126944	50.046111	9	
3386	20254	1	20254	020120289	Czech Republic	15.367603	50.835081	15	
3387	21807	1	21807	020415400	Czech Republic	15.366667	49.213889	5	
3388	22280	1	22280	020418346	Czech Republic	17.126944	50.046111	9	
3389	20117	1	20117	020119864	Czech Republic	15.369692	50.830733	8	
3390	20255	1	20255	020120290	Czech Republic	15.370078	50.829556	17	
3391	20646	1	20646	020166097	Czech Republic	15.3695	50.830167	14	
3392	22286	1	22286	020418352	Czech Republic	17.126944	50.046111	8	
3393	20645	1	20645	020166095	Czech Republic	15.369472	50.833472	18	
3394	21831	1	21831	020415847	Czech Republic	17.170833	50.055556	7	
3395	21847	1	21847	020415863	Czech Republic	17.170833	50.055556	12	
3396	21856	1	21856	020415872	Czech Republic	17.170833	50.055556	11	
3397	21838	1	21838	020415854	Czech Republic	17.170833	50.055556	4	
3398	21849	1	21849	020415865	Czech Republic	17.170833	50.055556	12	
3399	24880	1	24880	020466215	Czech Republic	17.163889	50.114444	2	
3400	21531	1	21531	020409764	Czech Republic	17.162222	49.991667	6	
3401	21530	1	21530	020409763	Czech Republic	17.162222	49.991667	8	
3402	24387	1	24387	020460216	Czech Republic	17.162778	49.990556	6	
3403	24382	1	24382	020460210	Czech Republic	17.162778	49.990556	8	
3404	24383	1	24383	020460211	Czech Republic	17.162778	49.990556	6	
3405	21854	1	21854	020415870	Czech Republic	17.170833	50.055556	12	
3406	21833	1	21833	020415849	Czech Republic	17.170833	50.055556	6	
3407	21853	1	21853	020415869	Czech Republic	17.170833	50.055556	11	
3408	21836	1	21836	020415852	Czech Republic	17.170833	50.055556	13	
3409	21832	1	21832	020415848	Czech Republic	17.170833	50.055556	16	
3410	21834	1	21834	020415850	Czech Republic	17.170833	50.055556	11	
3411	21841	1	21841	020415857	Czech Republic	17.170833	50.055556	14	
3412	21840	1	21840	020415856	Czech Republic	17.170833	50.055556	7	
3413	21845	1	21845	020415861	Czech Republic	17.170833	50.055556	11	
3414	21848	1	21848	020415864	Czech Republic	17.170833	50.055556	19	
3415	21852	1	21852	020415868	Czech Republic	17.170833	50.055556	6	
3416	21855	1	21855	020415871	Czech Republic	17.170833	50.055556	10	
3417	20641	1	20641	020166055	Czech Republic	15.35	50.851667	12	
3418	20114	1	20114	020119858	Czech Republic	15.350181	50.848994	5	
3419	21859	1	21859	020415875	Czech Republic	17.133333	49.975	8	
3420	20637	1	20637	020166010	Czech Republic	15.348417	50.849833	9	
3421	21866	1	21866	020415882	Czech Republic	17.133333	49.975	6	
3422	21862	1	21862	020415878	Czech Republic	17.133333	49.975	16	
3423	21864	1	21864	020415880	Czech Republic	17.133333	49.975	4	
3424	20640	1	20640	020166023	Czech Republic	15.353806	50.851028	12	
3425	21867	1	21867	020415883	Czech Republic	17.133333	49.975	9	
3426	21861	1	21861	020415877	Czech Republic	17.133333	49.975	11	
3427	21863	1	21863	020415879	Czech Republic	17.133333	49.975	17	
3428	20151	1	20151	020120004	Czech Republic	15.348158	50.836706	9	
3429	24385	1	24385	020460214	Czech Republic	17.154722	50.078333	5	
3430	22324	1	22324	020418401	Czech Republic	17.153333	50.069167	3	
3431	24203	1	24203	020459285	Czech Republic	17.155556	50.253611	0	
3432	21527	1	21527	020409660	Czech Republic	17.161944	49.991944	10	
3433	21535	1	21535	020409769	Czech Republic	17.161111	49.992222	6	
3434	21533	1	21533	020409767	Czech Republic	17.148611	50.072222	5	
3435	24863	1	24863	020465872	Czech Republic	17.138889	50.141667	0	
3436	21860	1	21860	020415876	Czech Republic	17.133333	49.975	7	
3437	24864	1	24864	020465873	Czech Republic	17.138889	50.141667	0	
3438	24861	1	24861	020465782	Czech Republic	17.147222	50.073611	4	
3439	24862	1	24862	020465871	Czech Republic	17.141667	50.143056	0	
3440	23965	1	23965	020439931	Czech Republic	15.8775	49.641111	10	
3441	23962	1	23962	020439928	Czech Republic	15.877778	49.639444	8	
3442	23966	1	23966	020439932	Czech Republic	15.8775	49.641667	7	
3443	23960	1	23960	020439926	Czech Republic	15.877222	49.638333	8	
3444	21951	1	21951	020417000	Czech Republic	15.877222	49.6275	8	
3445	22008	1	22008	020418030	Czech Republic	15.878611	49.6325	3	
3446	23989	1	23989	020439970	Czech Republic	15.880556	49.636944	8	
3447	21953	1	21953	020417002	Czech Republic	15.881944	49.629167	8	
3448	23987	1	23987	020439966	Czech Republic	15.88	49.638333	5	
3449	23986	1	23986	020439965	Czech Republic	15.879444	49.640278	8	
3450	23988	1	23988	020439967	Czech Republic	15.88	49.6375	7	
3451	23961	1	23961	020439927	Czech Republic	15.877222	49.638611	10	
3452	23991	1	23991	020439980	Czech Republic	15.875278	49.631944	7	
3453	24001	1	24001	020439992	Czech Republic	15.876111	49.636111	6	
3454	22007	1	22007	020418029	Czech Republic	15.874722	49.628056	8	
3455	23990	1	23990	020439979	Czech Republic	15.868889	49.632778	6	
3456	23959	1	23959	020439925	Czech Republic	15.876111	49.6375	5	
3457	23964	1	23964	020439930	Czech Republic	15.877222	49.640556	6	
3458	23968	1	23968	020439934	Czech Republic	15.877222	49.640833	8	
3459	23963	1	23963	020439929	Czech Republic	15.876944	49.640278	7	
3460	23958	1	23958	020439924	Czech Republic	15.876667	49.635556	5	
3461	22525	1	22525	020418622	Czech Republic	15.895833	49.637778	8	
3462	22527	1	22527	020418624	Czech Republic	15.895833	49.637778	11	
3463	22523	1	22523	020418620	Czech Republic	15.895833	49.637778	7	
3464	22519	1	22519	020418614	Czech Republic	15.895833	49.637778	6	
3465	22528	1	22528	020418625	Czech Republic	15.895833	49.637778	3	
3466	22524	1	22524	020418621	Czech Republic	15.895833	49.637778	7	
3467	21950	1	21950	020416999	Czech Republic	15.897778	49.6275	6	
3468	21954	1	21954	020417003	Czech Republic	15.899444	49.648056	1	
3469	22530	1	22530	020418627	Czech Republic	15.895833	49.637778	7	
3470	22518	1	22518	020418613	Czech Republic	15.895833	49.637778	8	
3471	22517	1	22517	020418612	Czech Republic	15.895833	49.637778	8	
3472	22529	1	22529	020418626	Czech Republic	15.895833	49.637778	7	
3473	24002	1	24002	020439993	Czech Republic	15.886111	49.635833	8	
3474	23998	1	23998	020439989	Czech Republic	15.883611	49.638333	10	
3475	23997	1	23997	020439988	Czech Republic	15.884444	49.638333	6	
3476	22520	1	22520	020418615	Czech Republic	15.895833	49.637778	7	
3477	22526	1	22526	020418623	Czech Republic	15.895833	49.637778	11	
3478	23994	1	23994	020439985	Czech Republic	15.894444	49.650833	8	
3479	23993	1	23993	020439984	Czech Republic	15.892222	49.649167	9	
3480	22064	1	22064	020418100	Czech Republic	16.399167	50.310833	4	
3481	22032	1	22032	020418054	Czech Republic	15.769444	50.647222	3	
3482	22065	1	22065	020418101	Czech Republic	16.398611	50.299722	3	
3483	23695	1	23695	020433068	Czech Republic	16.398056	50.310556	1	
